AcademicYear,GPA,Interest_AcademicWorkshop,Interest_CareerDev,Interest_SocialActivities,Interest_Sports,Interest_CulturalPrograms,Interest_TechMeetups,ParticipatedBefore,EventTypesAttended,EventAttendanceFrequency,Hypo_TechWorkshop,Hypo_ResumeWorkshop,Hypo_CulturalNight,Hypo_SportsTournament,Hypo_SocialCampaign,Personality,Motivation,FreeDays,PreferredTime,InterestTopics,SkillsToDevelop,Feedback,Recommended Event
21/22,3.46,4.0,1.0,4.0,3.0,3.0,3.0,Yes,"Tech Meetups, Academic Workshops, Sports",Sometimes,3.0,5.0,3.0,5.0,2.0,"Curious and eager to learn, Logical thinker",Relaxation/Stress Relief,Weekdays,Afternoon (12pm-4pm),"Public Speaking / Soft Skill, Artificial Intelligence / Data Science","Creativity, Leadership",Include movie nights.,Social Engaging
22/23,2.14,1.0,2.0,5.0,5.0,1.0,3.0,Yes,Tech Meetups,Never,4.0,3.0,2.0,5.0,4.0,"Logical thinker, Outgoing, Creative","Career Development, Fun and Entertainment",Weekends,Morning (8am-12pm),"Business / Entrepreneurship, Public Speaking / Soft Skill","Public Speaking, Leadership, Communication, Creativity",Could be shorter.,Hackathon
21/22,2.98,3.0,1.0,4.0,3.0,1.0,2.0,Yes,"Tech Meetups, Academic Workshops",Sometimes,3.0,1.0,1.0,2.0,5.0,"Curious and eager to learn, Logical thinker","Learning New Skills, Relaxation/Stress Relief, Fun and Entertainment",Weekdays,Night (After 8pm),"Health and Wellbeing, Environmental & Social Impact","Public Speaking, Soft Skills",Add talent shows.,Social Engaging
20/21,2.16,4.0,5.0,4.0,3.0,1.0,3.0,Yes,"Tech Meetups, Cultural Events",Often,1.0,3.0,5.0,3.0,1.0,"Curious and eager to learn, Creative",Career Development,Weekdays,Afternoon (12pm-4pm),"Designing / Creativity, Health and Wellbeing, Artificial Intelligence / Data Science, Environmental & Social Impact","Soft Skills, Communication, Creativity",More open-ended.,Career Development
22/23,2.08,1.0,1.0,2.0,5.0,1.0,3.0,Yes,"Cultural Events, Academic Workshops",Often,3.0,1.0,3.0,2.0,2.0,"Outgoing, Curious and eager to learn, Logical thinker","Relaxation/Stress Relief, Meeting New People",Weekdays,Afternoon (12pm-4pm),"Public Speaking / Soft Skill, Artificial Intelligence / Data Science","Communication, Leadership",Include tech expos.,Hackathon
22/23,3.83,4.0,1.0,4.0,3.0,3.0,3.0,Yes,"Tech Meetups, Academic Workshops, Sports",Sometimes,3.0,5.0,3.0,5.0,2.0,"Curious and eager to learn, Logical thinker",Relaxation/Stress Relief,Weekdays,Afternoon (12pm-4pm),"Public Speaking / Soft Skill, Artificial Intelligence / Data Science","Creativity, Leadership",Add cultural clubs.,Career Development
20/21,2.55,4.0,2.0,2.0,4.0,5.0,5.0,No,"Career Development, Tech Meetups",Always,4.0,4.0,2.0,1.0,5.0,Creative,"Learning New Skills, Fun and Entertainment",Weekdays,Evening (4pm-8pm),"Environmental & Social Impact, Public Speaking / Soft Skill","Communication, Public Speaking, AI, Leadership",Include alumni meet.,Tech Workshop
22/23,2.87,1.0,4.0,2.0,3.0,3.0,4.0,No,Tech Meetups,Rarely,5.0,5.0,2.0,3.0,5.0,"Outgoing, Logical thinker","Career Development, Fun and Entertainment, Relaxation/Stress Relief",Any day,Morning (8am-12pm),"Artificial Intelligence / Data Science, Public Speaking / Soft Skill","Leadership, Creativity, Communication",Add science fairs.,Career Development
22/23,2.98,5.0,2.0,5.0,2.0,2.0,3.0,Yes,"Academic Workshops, Sports, Cultural Events",Sometimes,5.0,3.0,2.0,1.0,1.0,Outgoing,"Meeting New People, Fun and Entertainment",Weekdays,Afternoon (12pm-4pm),"Artificial Intelligence / Data Science, Web/App Development, Public Speaking / Soft Skill","AI, Communication, Public Speaking, Soft Skills",Add international events.,Social Engaging
21/22,2.28,3.0,5.0,3.0,5.0,1.0,4.0,Yes,"Academic Workshops, Career Development",Sometimes,3.0,1.0,4.0,3.0,3.0,Logical thinker,Meeting New People,Weekdays,Evening (4pm-8pm),"Health and Wellbeing, Designing / Creativity, Public Speaking / Soft Skill, Web/App Development","Soft Skills, Communication, Creativity, AI",Add mentoring programs.,Hackathon
22/23,2.03,1.0,2.0,5.0,5.0,1.0,3.0,Yes,Tech Meetups,Never,4.0,3.0,2.0,5.0,4.0,"Logical thinker, Outgoing, Creative","Career Development, Fun and Entertainment",Weekends,Morning (8am-12pm),"Business / Entrepreneurship, Public Speaking / Soft Skill","Public Speaking, Leadership, Communication, Creativity",Add online seminars.,Social Engaging
20/21,2.18,2.0,1.0,2.0,4.0,3.0,5.0,No,Sports,Sometimes,3.0,1.0,1.0,3.0,4.0,"Team-oriented, Outgoing","Relaxation/Stress Relief, Learning New Skills",Weekends,Night (After 8pm),"Business / Entrepreneurship, Artificial Intelligence / Data Science, Public Speaking / Soft Skill, Web/App Development","Soft Skills, Leadership, AI",No suggestion,Tech Workshop
20/21,3.71,1.0,2.0,4.0,4.0,1.0,4.0,Yes,"Cultural Events, Career Development, Sports",Sometimes,3.0,1.0,3.0,3.0,1.0,"Creative, Outgoing","Fun and Entertainment, Meeting New People",Weekends,Morning (8am-12pm),"Artificial Intelligence / Data Science, Environmental & Social Impact, Web/App Development, Public Speaking / Soft Skill","Soft Skills, Creativity",Include industry visits.,Hackathon
22/23,2.46,1.0,2.0,4.0,4.0,1.0,4.0,Yes,"Cultural Events, Career Development, Sports",Sometimes,3.0,1.0,3.0,3.0,1.0,"Creative, Outgoing","Fun and Entertainment, Meeting New People",Weekends,Morning (8am-12pm),"Artificial Intelligence / Data Science, Environmental & Social Impact, Web/App Development, Public Speaking / Soft Skill","Soft Skills, Creativity",No suggestion,Hackathon
20/21,2.73,5.0,5.0,5.0,1.0,3.0,5.0,Yes,"Tech Meetups, Cultural Events, Career Development",Sometimes,5.0,2.0,4.0,1.0,4.0,"Creative, Logical thinker","Fun and Entertainment, Career Development, Learning New Skills",Any day,Afternoon (12pm-4pm),"Environmental & Social Impact, Public Speaking / Soft Skill, Web/App Development","Communication, Creativity, Public Speaking",Missing entrepreneurship programs.,Tech Workshop
20/21,2.16,3.0,2.0,1.0,1.0,1.0,2.0,Yes,Social Service Activities,Sometimes,2.0,2.0,4.0,1.0,5.0,Logical thinker,"Fun and Entertainment, Relaxation/Stress Relief, Learning New Skills",Any day,Morning (8am-12pm),"Business / Entrepreneurship, Artificial Intelligence / Data Science","AI, Leadership, Public Speaking, Soft Skills",No suggestion,Social Engaging
20/21,2.59,1.0,2.0,4.0,4.0,1.0,4.0,Yes,"Cultural Events, Career Development, Sports",Sometimes,3.0,1.0,3.0,3.0,1.0,"Creative, Outgoing","Fun and Entertainment, Meeting New People",Weekends,Morning (8am-12pm),"Artificial Intelligence / Data Science, Environmental & Social Impact, Web/App Development, Public Speaking / Soft Skill","Soft Skills, Creativity",Add debate competitions.,Social Engaging
21/22,3.76,5.0,2.0,5.0,2.0,2.0,3.0,Yes,"Academic Workshops, Sports, Cultural Events",Sometimes,5.0,3.0,2.0,1.0,1.0,Outgoing,"Meeting New People, Fun and Entertainment",Weekdays,Afternoon (12pm-4pm),"Artificial Intelligence / Data Science, Web/App Development, Public Speaking / Soft Skill","AI, Communication, Public Speaking, Soft Skills",No suggestion,Tech Workshop
20/21,3.63,5.0,1.0,5.0,5.0,2.0,3.0,No,"None, Career Development, Cultural Events",Sometimes,1.0,2.0,3.0,2.0,2.0,"Creative, Outgoing, Logical thinker","Career Development, Relaxation/Stress Relief, Fun and Entertainment",Any day,Night (After 8pm),"Health and Wellbeing, Designing / Creativity, Environmental & Social Impact, Business / Entrepreneurship","Leadership, Soft Skills, Public Speaking, AI",More interactive events.,Social Engaging
21/22,3.45,1.0,1.0,2.0,5.0,1.0,3.0,Yes,"Cultural Events, Academic Workshops",Often,3.0,1.0,3.0,2.0,2.0,"Outgoing, Curious and eager to learn, Logical thinker","Relaxation/Stress Relief, Meeting New People",Weekdays,Afternoon (12pm-4pm),"Public Speaking / Soft Skill, Artificial Intelligence / Data Science","Communication, Leadership",No suggestion,Hackathon
20/21,3.55,5.0,5.0,5.0,1.0,3.0,5.0,Yes,"Tech Meetups, Cultural Events, Career Development",Sometimes,5.0,2.0,4.0,1.0,4.0,"Creative, Logical thinker","Fun and Entertainment, Career Development, Learning New Skills",Any day,Afternoon (12pm-4pm),"Environmental & Social Impact, Public Speaking / Soft Skill, Web/App Development","Communication, Creativity, Public Speaking",Include faculty talks.,Social Engaging
20/21,3.55,5.0,5.0,5.0,1.0,3.0,5.0,Yes,"Tech Meetups, Cultural Events, Career Development",Sometimes,5.0,2.0,4.0,1.0,4.0,"Creative, Logical thinker","Fun and Entertainment, Career Development, Learning New Skills",Any day,Afternoon (12pm-4pm),"Environmental & Social Impact, Public Speaking / Soft Skill, Web/App Development","Communication, Creativity, Public Speaking",Well-structured.,Tech Workshop
21/22,2.72,3.0,2.0,1.0,1.0,1.0,2.0,Yes,Social Service Activities,Sometimes,2.0,2.0,4.0,1.0,5.0,Logical thinker,"Fun and Entertainment, Relaxation/Stress Relief, Learning New Skills",Any day,Morning (8am-12pm),"Business / Entrepreneurship, Artificial Intelligence / Data Science","AI, Leadership, Public Speaking, Soft Skills",Add charity events.,Social Engaging
22/23,2.48,5.0,5.0,5.0,5.0,5.0,2.0,Yes,"Cultural Events, None",Sometimes,2.0,2.0,1.0,4.0,1.0,"Logical thinker, Creative, Curious and eager to learn",Relaxation/Stress Relief,Weekends,Evening (4pm-8pm),"Environmental & Social Impact, Artificial Intelligence / Data Science, Designing / Creativity, Public Speaking / Soft Skill","Public Speaking, Creativity, Leadership, Soft Skills",No suggestion,Social Engaging
20/21,2.25,1.0,2.0,5.0,5.0,1.0,3.0,Yes,Tech Meetups,Never,4.0,3.0,2.0,5.0,4.0,"Logical thinker, Outgoing, Creative","Career Development, Fun and Entertainment",Weekends,Morning (8am-12pm),"Business / Entrepreneurship, Public Speaking / Soft Skill","Public Speaking, Leadership, Communication, Creativity",Include guest lectures.,Hackathon
22/23,2.23,5.0,1.0,5.0,5.0,2.0,3.0,No,"None, Career Development, Cultural Events",Sometimes,1.0,2.0,3.0,2.0,2.0,"Creative, Outgoing, Logical thinker","Career Development, Relaxation/Stress Relief, Fun and Entertainment",Any day,Night (After 8pm),"Health and Wellbeing, Designing / Creativity, Environmental & Social Impact, Business / Entrepreneurship","Leadership, Soft Skills, Public Speaking, AI",No suggestion,Social Engaging
22/23,2.24,3.0,1.0,5.0,2.0,1.0,2.0,No,"Social Service Activities, None",Never,2.0,3.0,3.0,3.0,4.0,"Curious and eager to learn, Outgoing","Fun and Entertainment, Learning New Skills, Meeting New People",Weekdays,Night (After 8pm),"Business / Entrepreneurship, Designing / Creativity, Health and Wellbeing","Leadership, AI",More detailed choices.,Social Engaging
22/23,2.62,4.0,3.0,2.0,1.0,4.0,3.0,No,Sports,Often,3.0,3.0,4.0,1.0,2.0,Curious and eager to learn,"Career Development, Fun and Entertainment, Meeting New People",Any day,Night (After 8pm),"Designing / Creativity, Artificial Intelligence / Data Science, Web/App Development, Public Speaking / Soft Skill","Public Speaking, Communication",No suggestion,Social Engaging
20/21,2.95,5.0,1.0,5.0,5.0,2.0,3.0,No,"None, Career Development, Cultural Events",Sometimes,1.0,2.0,3.0,2.0,2.0,"Creative, Outgoing, Logical thinker","Career Development, Relaxation/Stress Relief, Fun and Entertainment",Any day,Night (After 8pm),"Health and Wellbeing, Designing / Creativity, Environmental & Social Impact, Business / Entrepreneurship","Leadership, Soft Skills, Public Speaking, AI",Add sports training.,Social Engaging
20/21,2.09,4.0,1.0,3.0,3.0,3.0,1.0,No,"None, Academic Workshops, Social Service Activities",Always,4.0,1.0,2.0,5.0,3.0,"Logical thinker, Team-oriented, Outgoing",Fun and Entertainment,Any day,Afternoon (12pm-4pm),"Public Speaking / Soft Skill, Designing / Creativity, Environmental & Social Impact","AI, Creativity",No suggestion,Hackathon
22/23,3.09,3.0,3.0,5.0,2.0,2.0,2.0,No,Tech Meetups,Never,3.0,4.0,5.0,4.0,5.0,"Creative, Team-oriented, Curious and eager to learn","Learning New Skills, Career Development, Fun and Entertainment",Any day,Evening (4pm-8pm),"Health and Wellbeing, Artificial Intelligence / Data Science","Creativity, Communication",No suggestion,Social Engaging
22/23,3.09,3.0,3.0,5.0,2.0,2.0,2.0,No,Tech Meetups,Never,3.0,4.0,5.0,4.0,5.0,"Creative, Team-oriented, Curious and eager to learn","Learning New Skills, Career Development, Fun and Entertainment",Any day,Evening (4pm-8pm),"Health and Wellbeing, Artificial Intelligence / Data Science","Creativity, Communication",No suggestion,Social Engaging
21/22,2.72,3.0,2.0,1.0,1.0,1.0,2.0,Yes,Social Service Activities,Sometimes,2.0,2.0,4.0,1.0,5.0,Logical thinker,"Fun and Entertainment, Relaxation/Stress Relief, Learning New Skills",Any day,Morning (8am-12pm),"Business / Entrepreneurship, Artificial Intelligence / Data Science","AI, Leadership, Public Speaking, Soft Skills",Easy to understand.,Social Engaging
22/23,2.48,5.0,5.0,5.0,5.0,5.0,2.0,Yes,"Cultural Events, None",Sometimes,2.0,2.0,1.0,4.0,1.0,"Logical thinker, Creative, Curious and eager to learn",Relaxation/Stress Relief,Weekends,Evening (4pm-8pm),"Environmental & Social Impact, Artificial Intelligence / Data Science, Designing / Creativity, Public Speaking / Soft Skill","Public Speaking, Creativity, Leadership, Soft Skills",No suggestion,Hackathon
20/21,2.25,1.0,2.0,5.0,5.0,1.0,3.0,Yes,Tech Meetups,Never,4.0,3.0,2.0,5.0,4.0,"Logical thinker, Outgoing, Creative","Career Development, Fun and Entertainment",Weekends,Morning (8am-12pm),"Business / Entrepreneurship, Public Speaking / Soft Skill","Public Speaking, Leadership, Communication, Creativity",No suggestion,Hackathon
22/23,2.23,5.0,1.0,5.0,5.0,2.0,3.0,No,"None, Career Development, Cultural Events",Sometimes,1.0,2.0,3.0,2.0,2.0,"Creative, Outgoing, Logical thinker","Career Development, Relaxation/Stress Relief, Fun and Entertainment",Any day,Night (After 8pm),"Health and Wellbeing, Designing / Creativity, Environmental & Social Impact, Business / Entrepreneurship","Leadership, Soft Skills, Public Speaking, AI",Add internships.,Social Engaging
22/23,2.24,3.0,1.0,5.0,2.0,1.0,2.0,No,"Social Service Activities, None",Never,2.0,3.0,3.0,3.0,4.0,"Curious and eager to learn, Outgoing","Fun and Entertainment, Learning New Skills, Meeting New People",Weekdays,Night (After 8pm),"Business / Entrepreneurship, Designing / Creativity, Health and Wellbeing","Leadership, AI",No suggestion,Social Engaging
22/23,2.62,4.0,3.0,2.0,1.0,4.0,3.0,No,Sports,Often,3.0,3.0,4.0,1.0,2.0,Curious and eager to learn,"Career Development, Fun and Entertainment, Meeting New People",Any day,Night (After 8pm),"Designing / Creativity, Artificial Intelligence / Data Science, Web/App Development, Public Speaking / Soft Skill","Public Speaking, Communication",Include fun fairs.,Social Engaging
20/21,2.95,5.0,1.0,5.0,5.0,2.0,3.0,No,"None, Career Development, Cultural Events",Sometimes,1.0,2.0,3.0,2.0,2.0,"Creative, Outgoing, Logical thinker","Career Development, Relaxation/Stress Relief, Fun and Entertainment",Any day,Night (After 8pm),"Health and Wellbeing, Designing / Creativity, Environmental & Social Impact, Business / Entrepreneurship","Leadership, Soft Skills, Public Speaking, AI",No suggestion,Hackathon
20/21,2.09,4.0,1.0,3.0,3.0,3.0,1.0,No,"None, Academic Workshops, Social Service Activities",Always,4.0,1.0,2.0,5.0,3.0,"Logical thinker, Team-oriented, Outgoing",Fun and Entertainment,Any day,Afternoon (12pm-4pm),"Public Speaking / Soft Skill, Designing / Creativity, Environmental & Social Impact","AI, Creativity",More weekend options.,Hackathon
22/23,3.09,3.0,3.0,5.0,2.0,2.0,2.0,No,Tech Meetups,Never,3.0,4.0,5.0,4.0,5.0,"Creative, Team-oriented, Curious and eager to learn","Learning New Skills, Career Development, Fun and Entertainment",Any day,Evening (4pm-8pm),"Health and Wellbeing, Artificial Intelligence / Data Science","Creativity, Communication",No suggestion,Social Engaging
21/22,3.34,4.0,2.0,2.0,4.0,5.0,5.0,No,"Career Development, Tech Meetups",Always,4.0,4.0,2.0,1.0,5.0,Creative,"Learning New Skills, Fun and Entertainment",Weekdays,Evening (4pm-8pm),"Environmental & Social Impact, Public Speaking / Soft Skill","Communication, Public Speaking, AI, Leadership",Add cultural night.,Social Engaging
20/21,3.93,2.0,3.0,2.0,1.0,4.0,1.0,Yes,"Cultural Events, Career Development",Often,1.0,1.0,3.0,1.0,3.0,"Curious and eager to learn, Logical thinker",Meeting New People,Any day,Night (After 8pm),"Designing / Creativity, Web/App Development, Environmental & Social Impact, Health and Wellbeing","Creativity, Public Speaking",No suggestion,Social Engaging
20/21,2.87,1.0,5.0,1.0,5.0,5.0,4.0,Yes,Social Service Activities,Often,5.0,5.0,4.0,2.0,3.0,"Creative, Curious and eager to learn",Career Development,Any day,Morning (8am-12pm),"Business / Entrepreneurship, Health and Wellbeing, Artificial Intelligence / Data Science","Soft Skills, Creativity, Communication, Leadership",Time slots not flexible.,Career Development
21/22,3.58,1.0,1.0,2.0,5.0,1.0,3.0,Yes,"Cultural Events, Academic Workshops",Often,3.0,1.0,3.0,2.0,2.0,"Outgoing, Curious and eager to learn, Logical thinker","Relaxation/Stress Relief, Meeting New People",Weekdays,Afternoon (12pm-4pm),"Public Speaking / Soft Skill, Artificial Intelligence / Data Science","Communication, Leadership",No suggestion,Hackathon
20/21,3.27,2.0,3.0,2.0,5.0,4.0,5.0,Yes,"Career Development, None, Sports",Rarely,2.0,4.0,5.0,4.0,4.0,Creative,"Relaxation/Stress Relief, Meeting New People",Any day,Afternoon (12pm-4pm),"Designing / Creativity, Health and Wellbeing, Business / Entrepreneurship, Web/App Development","Communication, Leadership, Public Speaking, Creativity",Need flexible timings.,Tech Workshop
20/21,3.5,2.0,4.0,4.0,2.0,1.0,1.0,Yes,"None, Social Service Activities, Tech Meetups",Sometimes,5.0,4.0,2.0,4.0,5.0,"Outgoing, Team-oriented, Logical thinker","Meeting New People, Learning New Skills",Any day,Night (After 8pm),"Public Speaking / Soft Skill, Business / Entrepreneurship, Artificial Intelligence / Data Science, Environmental & Social Impact","Public Speaking, Communication",Great idea.,Career Development
21/22,3.68,4.0,1.0,3.0,3.0,3.0,1.0,No,"None, Academic Workshops, Social Service Activities",Always,4.0,1.0,2.0,5.0,3.0,"Logical thinker, Team-oriented, Outgoing",Fun and Entertainment,Any day,Afternoon (12pm-4pm),"Public Speaking / Soft Skill, Designing / Creativity, Environmental & Social Impact","AI, Creativity",No difficulties.,Hackathon
22/23,2.81,3.0,3.0,5.0,2.0,2.0,2.0,No,Tech Meetups,Never,3.0,4.0,5.0,4.0,5.0,"Creative, Team-oriented, Curious and eager to learn","Learning New Skills, Career Development, Fun and Entertainment",Any day,Evening (4pm-8pm),"Health and Wellbeing, Artificial Intelligence / Data Science","Creativity, Communication",Clear instructions.,Social Engaging
21/22,2.58,2.0,5.0,2.0,1.0,5.0,3.0,Yes,"Career Development, None",Always,5.0,4.0,3.0,3.0,3.0,Creative,"Career Development, Relaxation/Stress Relief, Fun and Entertainment",Weekends,Afternoon (12pm-4pm),"Health and Wellbeing, Designing / Creativity, Environmental & Social Impact, Business / Entrepreneurship","Communication, Creativity",Good effort.,Career Development
20/21,3.97,3.0,5.0,3.0,5.0,1.0,4.0,Yes,"Academic Workshops, Career Development",Sometimes,5.0,1.0,4.0,3.0,3.0,Logical thinker,Meeting New People,Weekdays,Evening (4pm-8pm),"Health and Wellbeing, Designing / Creativity, Public Speaking / Soft Skill, Web/App Development","Soft Skills, Communication, Creativity, AI",Smooth experience.,Hackathon
20/21,3.5,1.0,4.0,2.0,3.0,3.0,4.0,No,Tech Meetups,Rarely,5.0,5.0,2.0,3.0,5.0,"Outgoing, Logical thinker","Career Development, Fun and Entertainment, Relaxation/Stress Relief",Any day,Morning (8am-12pm),"Artificial Intelligence / Data Science, Public Speaking / Soft Skill","Leadership, Creativity, Communication",Covers everything.,Career Development
22/23,3.54,2.0,3.0,2.0,5.0,4.0,5.0,Yes,"Career Development, None, Sports",Rarely,5.0,4.0,3.0,4.0,4.0,Creative,"Relaxation/Stress Relief, Meeting New People",Any day,Afternoon (12pm-4pm),"Designing / Creativity, Health and Wellbeing, Business / Entrepreneurship, Web/App Development","Communication, Leadership, Public Speaking, Creativity",Nicely built.,Tech Workshop
21/22,3.69,2.0,5.0,1.0,1.0,1.0,2.0,Yes,"Sports, Tech Meetups",Sometimes,2.0,4.0,3.0,4.0,2.0,"Creative, Logical thinker","Fun and Entertainment, Relaxation/Stress Relief, Learning New Skills",Any day,Evening (4pm-8pm),"Health and Wellbeing, Designing / Creativity","Soft Skills, Communication",No suggestion,Career Development
20/21,2.68,3.0,2.0,1.0,1.0,5.0,2.0,Yes,Social Service Activities,Sometimes,2.0,2.0,4.0,1.0,5.0,Logical thinker,"Fun and Entertainment, Relaxation/Stress Relief, Learning New Skills",Any day,Morning (8am-12pm),"Business / Entrepreneurship, Artificial Intelligence / Data Science","AI, Leadership, Public Speaking, Soft Skills",Simple yet effective.,Social Engaging
20/21,2.74,4.0,5.0,4.0,1.0,3.0,3.0,No,"Cultural Events, None, Academic Workshops",Often,4.0,5.0,2.0,3.0,5.0,"Creative, Logical thinker, Outgoing","Relaxation/Stress Relief, Learning New Skills, Meeting New People",Weekdays,Morning (8am-12pm),"Web/App Development, Health and Wellbeing, Environmental & Social Impact","Creativity, Soft Skills, Leadership",Loved the interactive parts.,Career Development
20/21,3.39,3.0,2.0,5.0,5.0,1.0,4.0,Yes,"Academic Workshops, Career Development",Sometimes,3.0,1.0,4.0,3.0,3.0,Logical thinker,Meeting New People,Weekdays,Evening (4pm-8pm),"Health and Wellbeing, Designing / Creativity, Public Speaking / Soft Skill, Web/App Development","Soft Skills, Communication, Creativity, AI",Engaging sessions.,Social Engaging
21/22,2.21,5.0,2.0,2.0,5.0,1.0,3.0,Yes,Tech Meetups,Never,4.0,3.0,2.0,5.0,3.0,"Logical thinker, Outgoing, Creative","Career Development, Fun and Entertainment",Weekends,Morning (8am-12pm),"Business / Entrepreneurship, Public Speaking / Soft Skill","Public Speaking, Leadership, Communication, Creativity",Could include competitions.,Hackathon
22/23,2.78,5.0,2.0,1.0,1.0,1.0,2.0,Yes,Social Service Activities,Sometimes,2.0,2.0,3.0,4.0,2.0,Logical thinker,"Fun and Entertainment, Relaxation/Stress Relief, Learning New Skills",Any day,Morning (8am-12pm),"Business / Entrepreneurship, Artificial Intelligence / Data Science","AI, Leadership, Public Speaking, Soft Skills",Friendly design.,Hackathon
20/21,2.94,1.0,2.0,5.0,5.0,1.0,3.0,Yes,Tech Meetups,Never,3.0,3.0,2.0,5.0,4.0,"Logical thinker, Outgoing, Creative","Career Development, Fun and Entertainment",Weekends,Morning (8am-12pm),"Business / Entrepreneurship, Public Speaking / Soft Skill","Public Speaking, Leadership, Communication, Creativity",Add more checkboxes.,Social Engaging
22/23,3.43,5.0,2.0,3.0,3.0,2.0,5.0,No,"None, Career Development, Cultural Events",Sometimes,5.0,2.0,3.0,2.0,2.0,"Creative, Outgoing, Logical thinker","Career Development, Relaxation/Stress Relief, Fun and Entertainment",Any day,Night (After 8pm),"Health and Wellbeing, Designing / Creativity, Environmental & Social Impact, Business / Entrepreneurship","Leadership, Soft Skills, Public Speaking, AI",Rating scale too small.,Tech Workshop
